source_node,destination_node,travel_time,distance,capacity,speed_limit
Vangani,Shedung,5,2,230,40 km/h
Belapur,Nerul,22,6,190,50 km/h
Chinchpokli,Sandhurst Road,12,9,160,50 km/h
Kopri,Mumbra,50,10,250,50 km/h
Vasai,Nalasopara,5,6,150,60 km/h
Dockyard Road,Mazgaon,20,2,160,50 km/h
Thane,Kopri,10,5,220,60 km/h
Marine Lines,Charni Road,40,5,180,60 km/h
Badlapur,Vangani,22,6,150,40 km/h
Sanpada,Vashi,22,7,180,40 km/h
Panvel,Kharghar,35,10,170,60 km/h
Ambernath,Badlapur,50,18,220,50 km/h
Dadar,Matunga,20,16,190,40 km/h
Matunga,King's Circle,18,12,160,60 km/h
Mazgaon,Byculla,40,16,180,60 km/h
Panvel,Kharghar,30,1,170,50 km/h
Parel,Lower Parel,45,1,230,50 km/h
Kopri,Mumbra,8,5,150,40 km/h
Kopri,Mumbra,6,3,200,40 km/h
Dadar,Prabhadevi,15,7,230,50 km/h
Kharghar,Belapur,8,8,160,40 km/h
Nalasopara,Virar,50,8,150,50 km/h
Vangani,Shedung,50,2,230,50 km/h
Chinchpokli,Sandhurst Road,30,8,250,40 km/h
Kalwa,Diva,25,10,210,60 km/h
Vashi,Mankhurd,20,10,230,60 km/h
Belapur,Nerul,15,12,160,60 km/h
Bhayandar,Vasai,30,4,200,40 km/h
Grant Road,Marine Drive,6,20,160,60 km/h
Kalyan,Ulhasnagar,40,3,250,60 km/h
Elphinstone,Currey Road,35,12,250,50 km/h
Charni Road,Grant Road,22,2,250,50 km/h
Kharghar,Belapur,10,20,250,50 km/h
Kalyan,Ulhasnagar,5,14,230,40 km/h
Dahisar,Mira Road,6,7,160,40 km/h
Grant Road,Marine Drive,40,6,230,50 km/h
Grant Road,Marine Drive,10,10,250,40 km/h
Ghatkopar,Vikhroli,20,12,230,50 km/h
Mulund,Thane,35,6,250,40 km/h
Badlapur,Vangani,5,7,190,50 km/h
Sion,Dadar,12,5,230,40 km/h
Lower Parel,Worli,18,4,220,60 km/h
Shedung,Panvel,8,14,200,40 km/h
Sion,Kurla,45,20,230,60 km/h
Grant Road,Marine Drive,10,3,160,50 km/h
Churchgate,CST,18,16,200,60 km/h
Currey Road,Chinchpokli,30,2,250,60 km/h
Kharghar,Belapur,25,20,150,40 km/h
Matunga,King's Circle,40,6,180,60 km/h
Mankhurd,Govandi,6,14,150,40 km/h
Chembur,Sion,22,5,170,40 km/h
Grant Road,Marine Drive,25,10,170,60 km/h
Dahisar,Mira Road,5,10,200,60 km/h
Kurla,Ghatkopar,22,1,150,50 km/h
Pedder Road,Worli,15,2,230,50 km/h
Byculla,Parel,40,4,190,50 km/h
Byculla,Parel,35,7,170,60 km/h
Ulhasnagar,Ambernath,5,18,180,60 km/h
Mumbra,Kalwa,20,6,150,40 km/h
Mankhurd,Govandi,8,9,150,60 km/h
Mazgaon,Byculla,40,1,230,50 km/h
Dadar,Matunga,22,3,190,60 km/h
Sandhurst Road,Dockyard Road,15,12,220,40 km/h
Currey Road,Chinchpokli,5,5,190,50 km/h
Nerul,Sanpada,8,16,150,50 km/h
Cuffe Parade,Churchgate,30,10,150,50 km/h
Grant Road,Marine Drive,8,5,160,40 km/h
Churchgate,CST,6,9,210,40 km/h
Bhandup,Mulund,10,10,180,40 km/h
Vikhroli,Bhandup,12,6,200,50 km/h
Vikhroli,Bhandup,45,1,250,60 km/h
Bhandup,Mulund,50,7,200,40 km/h
Currey Road,Chinchpokli,45,20,210,60 km/h
Cuffe Parade,Churchgate,20,10,200,60 km/h
Sanpada,Vashi,15,2,170,40 km/h
Sanpada,Vashi,12,10,230,60 km/h
Vikhroli,Bhandup,40,10,160,50 km/h
Haji Ali,Pedder Road,50,20,210,40 km/h
Kopri,Mumbra,15,1,150,40 km/h
Kalyan,Ulhasnagar,50,12,160,40 km/h
Diva,Dombivli,25,18,150,40 km/h
Shedung,Panvel,50,1,190,40 km/h
Sion,Kurla,22,2,230,40 km/h
Charni Road,Grant Road,6,2,220,50 km/h
Nalasopara,Virar,30,7,250,60 km/h
Vikhroli,Bhandup,35,9,210,50 km/h
Kalyan,Ulhasnagar,5,12,180,50 km/h
Sandhurst Road,Dockyard Road,50,12,250,60 km/h
Marine Drive,Haji Ali,10,3,250,60 km/h
Bhayandar,Vasai,6,16,220,50 km/h
Dockyard Road,Mazgaon,35,1,220,50 km/h
Colaba,Cuffe Parade,15,14,220,50 km/h
Bhayandar,Vasai,6,20,230,50 km/h
Shedung,Panvel,22,7,250,50 km/h
Dombivli,Kalyan,35,14,250,50 km/h
Mankhurd,Govandi,20,14,190,60 km/h
Govandi,Chembur,22,20,170,50 km/h
Diva,Dombivli,18,10,220,40 km/h
Marine Lines,Charni Road,6,1,210,60 km/h
Sandhurst Road,Dockyard Road,5,8,230,50 km/h
Prabhadevi,Elphinstone,5,14,170,60 km/h
Haji Ali,Pedder Road,30,5,150,50 km/h
Bhayandar,Vasai,6,5,200,50 km/h
Vashi,Mankhurd,15,20,210,50 km/h
Sandhurst Road,Dockyard Road,5,12,160,40 km/h
Grant Road,Marine Drive,45,20,200,50 km/h
Haji Ali,Pedder Road,15,16,160,60 km/h
Ulhasnagar,Ambernath,30,8,150,50 km/h
Mulund,Thane,12,20,230,60 km/h
Sion,Kurla,22,8,200,50 km/h
Kharghar,Belapur,45,6,250,40 km/h
Cuffe Parade,Churchgate,20,9,210,50 km/h
Mazgaon,Byculla,8,2,170,60 km/h
Nerul,Sanpada,35,18,170,50 km/h
Ambernath,Badlapur,25,9,200,60 km/h
Ulhasnagar,Ambernath,40,12,150,40 km/h
Byculla,Parel,35,9,160,60 km/h
Grant Road,Marine Drive,22,5,180,50 km/h
Nalasopara,Virar,8,5,200,40 km/h
Dadar,Prabhadevi,12,4,210,50 km/h
Cuffe Parade,Churchgate,50,7,180,50 km/h
Vikhroli,Bhandup,15,4,170,60 km/h
Mazgaon,Byculla,8,1,210,60 km/h
Kurla,Ghatkopar,15,8,160,60 km/h
Nerul,Sanpada,8,14,230,60 km/h
Nalasopara,Virar,20,8,220,40 km/h
Kalwa,Diva,10,5,230,50 km/h
Dockyard Road,Mazgaon,10,8,250,50 km/h
Marine Drive,Haji Ali,5,4,170,60 km/h
Thane,Kopri,6,20,210,50 km/h
Vikhroli,Bhandup,6,1,190,50 km/h
Cuffe Parade,Churchgate,15,6,210,50 km/h
Dahisar,Mira Road,12,6,230,60 km/h
Diva,Dombivli,25,2,170,50 km/h
Mazgaon,Byculla,18,5,160,50 km/h
Churchgate,CST,45,16,170,40 km/h
Sion,Dadar,8,14,160,50 km/h
Cuffe Parade,Churchgate,5,10,170,60 km/h
Kopri,Mumbra,25,10,250,60 km/h
Shedung,Panvel,30,5,160,60 km/h
Belapur,Nerul,20,4,160,40 km/h
Worli,Lower Parel,18,6,200,60 km/h
Diva,Dombivli,20,7,150,60 km/h
Cuffe Parade,Churchgate,40,2,160,60 km/h
Marine Drive,Haji Ali,35,20,170,50 km/h
Byculla,Parel,18,7,210,50 km/h
Dahisar,Mira Road,20,9,190,50 km/h
Govandi,Chembur,18,16,160,60 km/h
Sion,Kurla,22,18,220,50 km/h
Shedung,Panvel,8,5,170,60 km/h
Vikhroli,Bhandup,40,2,190,40 km/h
Dombivli,Kalyan,6,12,230,40 km/h
Kalwa,Diva,10,1,220,50 km/h
Kharghar,Belapur,40,1,180,60 km/h
Dockyard Road,Mazgaon,10,10,170,40 km/h
Kopri,Mumbra,40,14,160,40 km/h
Elphinstone,Currey Road,12,5,210,60 km/h
Govandi,Chembur,15,8,210,50 km/h
Mira Road,Bhayandar,15,4,170,60 km/h
Mumbra,Kalwa,35,12,220,40 km/h
Colaba,Cuffe Parade,15,18,160,40 km/h
Matunga,King's Circle,8,7,180,50 km/h
Panvel,Kharghar,15,5,170,40 km/h
Mankhurd,Govandi,12,3,170,60 km/h
Vikhroli,Bhandup,10,16,190,60 km/h
Dadar,Matunga,10,16,200,60 km/h
King's Circle,Sion,6,7,170,60 km/h
Lower Parel,Dadar,15,9,220,60 km/h
Dadar,Prabhadevi,20,5,190,60 km/h
Mazgaon,Byculla,25,6,250,60 km/h
Lower Parel,Dadar,45,1,190,60 km/h
Matunga,King's Circle,35,10,250,40 km/h
Dahisar,Mira Road,30,9,190,50 km/h
Kalyan,Ulhasnagar,35,9,190,50 km/h
Churchgate,CST,35,2,220,40 km/h
Haji Ali,Pedder Road,15,10,190,60 km/h
Bhandup,Mulund,40,1,250,60 km/h
Kharghar,Belapur,50,8,160,60 km/h
Sion,Dadar,22,8,200,60 km/h
Grant Road,Marine Drive,22,1,160,50 km/h
Bhayandar,Vasai,18,8,190,50 km/h
Panvel,Kharghar,45,20,160,50 km/h
Sanpada,Vashi,25,8,220,40 km/h
Prabhadevi,Elphinstone,45,9,190,40 km/h
Dockyard Road,Mazgaon,12,2,190,50 km/h
Grant Road,Marine Drive,30,20,150,60 km/h
Nalasopara,Virar,50,4,180,40 km/h
Mulund,Thane,5,14,250,50 km/h
Kurla,Ghatkopar,20,6,210,40 km/h
Lower Parel,Dadar,15,8,210,60 km/h
Vangani,Shedung,30,16,220,60 km/h
Govandi,Chembur,35,20,150,40 km/h
Nerul,Sanpada,6,12,250,40 km/h
Sanpada,Vashi,18,12,160,60 km/h
Vikhroli,Bhandup,25,10,220,50 km/h
Diva,Dombivli,5,7,200,60 km/h
Bhandup,Mulund,30,6,190,50 km/h
Pedder Road,Worli,12,5,200,60 km/h
Dockyard Road,Mazgaon,50,16,200,50 km/h
Sandhurst Road,Dockyard Road,18,18,190,40 km/h
Panvel,Kharghar,5,4,200,50 km/h
Marine Drive,Haji Ali,10,7,200,50 km/h
Prabhadevi,Elphinstone,20,1,160,60 km/h
Mazgaon,Byculla,30,4,250,40 km/h
Nalasopara,Virar,35,20,220,40 km/h
Dombivli,Kalyan,50,16,230,60 km/h
Marine Drive,Haji Ali,25,12,180,60 km/h
Dahisar,Mira Road,35,14,150,50 km/h
Bhayandar,Vasai,10,6,230,40 km/h
Charni Road,Grant Road,10,18,230,50 km/h
Dockyard Road,Mazgaon,45,3,180,40 km/h
Dombivli,Kalyan,22,4,150,60 km/h
Sion,Dadar,5,3,210,60 km/h
Mulund,Thane,6,5,200,60 km/h
Mumbra,Kalwa,30,10,150,50 km/h
Matunga,King's Circle,6,2,220,60 km/h
Cuffe Parade,Churchgate,22,6,250,50 km/h
Grant Road,Marine Drive,50,2,250,40 km/h
Chembur,Sion,22,1,160,60 km/h
Kalyan,Ulhasnagar,20,8,190,40 km/h
Govandi,Chembur,30,8,190,60 km/h
Kalyan,Ulhasnagar,6,10,150,50 km/h
Mankhurd,Govandi,15,18,230,60 km/h
Parel,Lower Parel,30,9,170,50 km/h
Shedung,Panvel,6,20,190,50 km/h
Byculla,Parel,30,4,200,50 km/h
Govandi,Chembur,50,8,250,50 km/h
Mumbra,Kalwa,8,18,160,40 km/h
King's Circle,Sion,6,2,200,60 km/h
Kopri,Mumbra,40,14,170,60 km/h
Vikhroli,Bhandup,5,8,160,60 km/h
Kharghar,Belapur,35,8,190,60 km/h
Bhandup,Mulund,8,1,230,40 km/h
Belapur,Nerul,20,7,170,60 km/h
Ulhasnagar,Ambernath,45,16,170,50 km/h
Shedung,Panvel,35,20,160,50 km/h
Elphinstone,Currey Road,45,20,230,50 km/h
Dahisar,Mira Road,30,10,220,60 km/h
Chinchpokli,Sandhurst Road,22,16,250,40 km/h
Dahisar,Mira Road,35,10,210,60 km/h
Ulhasnagar,Ambernath,8,5,180,50 km/h
Badlapur,Vangani,22,4,250,60 km/h
Parel,Lower Parel,30,14,230,40 km/h
Dombivli,Kalyan,50,18,190,50 km/h
Cuffe Parade,Churchgate,15,16,180,40 km/h
Badlapur,Vangani,10,12,150,60 km/h
Thane,Kopri,35,5,250,50 km/h
Vangani,Shedung,15,5,230,40 km/h
Nalasopara,Virar,35,7,250,50 km/h
Govandi,Chembur,15,4,220,50 km/h
Mumbra,Kalwa,40,2,230,40 km/h
Govandi,Chembur,22,1,190,60 km/h
Kalwa,Diva,25,4,160,60 km/h
Diva,Dombivli,50,5,250,60 km/h
Chembur,Sion,6,12,200,60 km/h
Dombivli,Kalyan,30,20,230,40 km/h
Kurla,Ghatkopar,40,14,210,60 km/h
Panvel,Kharghar,5,4,250,40 km/h
Kalwa,Diva,40,9,170,50 km/h
Vangani,Shedung,30,7,220,50 km/h
Chinchpokli,Sandhurst Road,15,18,230,60 km/h
Charni Road,Grant Road,35,9,220,40 km/h
Kurla,Ghatkopar,20,18,160,60 km/h
Chembur,Sion,10,5,170,40 km/h
Worli,Lower Parel,10,20,190,60 km/h
Shedung,Panvel,18,2,230,50 km/h
Mumbra,Kalwa,30,8,210,40 km/h
Kalyan,Ulhasnagar,5,4,190,40 km/h
Dombivli,Kalyan,30,7,220,50 km/h
Sion,Kurla,30,9,210,60 km/h
CST,Marine Lines,10,16,230,50 km/h
Lower Parel,Worli,8,3,210,50 km/h
Mira Road,Bhayandar,18,20,160,60 km/h
Diva,Dombivli,12,7,170,50 km/h
Marine Lines,Charni Road,50,3,230,40 km/h
Chembur,Sion,5,10,160,50 km/h
Nerul,Sanpada,20,20,250,60 km/h
Charni Road,Grant Road,18,9,220,40 km/h
Belapur,Nerul,8,10,160,40 km/h
Dockyard Road,Mazgaon,8,12,170,40 km/h
Parel,Lower Parel,20,20,170,50 km/h
Worli,Lower Parel,25,5,230,60 km/h
Haji Ali,Pedder Road,10,8,160,50 km/h
Bhayandar,Vasai,45,20,210,60 km/h
Marine Lines,Charni Road,18,16,170,50 km/h
Lower Parel,Worli,10,4,220,50 km/h
Mankhurd,Govandi,30,6,180,50 km/h
Sandhurst Road,Dockyard Road,20,6,150,60 km/h
Haji Ali,Pedder Road,10,12,170,50 km/h
Mankhurd,Govandi,30,1,230,60 km/h
Pedder Road,Worli,35,4,180,50 km/h
Badlapur,Vangani,30,16,180,40 km/h
Kopri,Mumbra,45,1,200,50 km/h
Badlapur,Vangani,18,16,170,50 km/h
Chembur,Sion,8,6,210,60 km/h
Badlapur,Vangani,22,5,150,50 km/h
Haji Ali,Pedder Road,45,14,160,60 km/h
Worli,Lower Parel,10,18,160,50 km/h
Ulhasnagar,Ambernath,6,12,190,40 km/h
Bhandup,Mulund,45,7,190,60 km/h
Chembur,Sion,8,16,220,60 km/h
Panvel,Kharghar,22,6,190,40 km/h
Sion,Dadar,30,14,230,50 km/h
Haji Ali,Pedder Road,18,20,170,50 km/h
Ambernath,Badlapur,15,16,160,60 km/h
Cuffe Parade,Churchgate,10,14,210,60 km/h
Vasai,Nalasopara,12,20,190,60 km/h
Vikhroli,Bhandup,20,9,170,60 km/h
Ulhasnagar,Ambernath,12,2,180,50 km/h
Vikhroli,Bhandup,45,16,170,60 km/h
Churchgate,CST,20,1,170,40 km/h
Ghatkopar,Vikhroli,10,10,210,50 km/h
Kharghar,Belapur,40,8,180,60 km/h
Mulund,Thane,10,3,160,40 km/h
Dadar,Matunga,45,5,200,60 km/h
Ulhasnagar,Ambernath,35,14,230,40 km/h
Elphinstone,Currey Road,10,5,150,50 km/h
Dadar,Prabhadevi,45,7,170,40 km/h
Bhandup,Mulund,22,18,170,60 km/h
Chinchpokli,Sandhurst Road,10,16,200,60 km/h
Lower Parel,Dadar,35,9,200,50 km/h
Mankhurd,Govandi,20,2,170,50 km/h
Elphinstone,Currey Road,10,18,200,50 km/h
Pedder Road,Worli,8,12,180,40 km/h
Govandi,Chembur,8,2,210,60 km/h
Sion,Kurla,10,20,180,60 km/h
Nalasopara,Virar,30,1,180,40 km/h
Belapur,Nerul,50,1,180,60 km/h
Sanpada,Vashi,10,20,200,60 km/h
Dadar,Prabhadevi,5,20,160,50 km/h
Dadar,Matunga,18,1,200,60 km/h
Marine Lines,Charni Road,6,18,160,60 km/h
Sion,Kurla,6,2,190,50 km/h
Matunga,King's Circle,35,9,190,50 km/h
Ambernath,Badlapur,25,16,220,50 km/h
Panvel,Kharghar,25,10,210,60 km/h
Vikhroli,Bhandup,5,2,170,40 km/h
Nerul,Sanpada,40,7,220,40 km/h
Bhayandar,Vasai,35,14,220,50 km/h
Dockyard Road,Mazgaon,6,3,210,40 km/h
Badlapur,Vangani,10,20,200,40 km/h
Worli,Lower Parel,12,14,180,60 km/h
Lower Parel,Worli,35,6,210,40 km/h
Matunga,King's Circle,35,4,220,50 km/h
Kharghar,Belapur,20,10,150,40 km/h
Vikhroli,Bhandup,12,7,210,50 km/h
Belapur,Nerul,20,1,220,50 km/h
Kalyan,Ulhasnagar,18,7,190,60 km/h
Colaba,Cuffe Parade,20,5,190,50 km/h
Bhandup,Mulund,30,10,250,40 km/h
Govandi,Chembur,30,1,220,40 km/h
Dadar,Matunga,12,10,170,50 km/h
Elphinstone,Currey Road,30,7,200,60 km/h
Mulund,Thane,6,9,220,50 km/h
Sion,Dadar,12,2,220,50 km/h
Mumbra,Kalwa,40,14,190,60 km/h
Nalasopara,Virar,8,7,190,50 km/h
Kharghar,Belapur,40,5,150,60 km/h
Kopri,Mumbra,18,5,170,60 km/h
Bhayandar,Vasai,18,2,170,60 km/h
Ambernath,Badlapur,50,18,200,60 km/h
Sion,Kurla,25,14,210,40 km/h
King's Circle,Sion,50,8,170,50 km/h
Cuffe Parade,Churchgate,18,12,150,50 km/h
Dadar,Matunga,40,20,180,50 km/h
Dadar,Prabhadevi,20,7,200,40 km/h
Colaba,Cuffe Parade,8,14,190,50 km/h
Chembur,Sion,8,6,230,50 km/h
Lower Parel,Worli,22,6,210,40 km/h
Ulhasnagar,Ambernath,25,12,230,60 km/h
Marine Lines,Charni Road,6,6,150,50 km/h
Ulhasnagar,Ambernath,40,4,150,40 km/h
Parel,Lower Parel,6,18,170,60 km/h
Vashi,Mankhurd,25,4,220,40 km/h
Diva,Dombivli,20,4,210,60 km/h
Matunga,King's Circle,22,3,190,50 km/h
Nerul,Sanpada,35,8,220,60 km/h
Sion,Kurla,35,18,200,40 km/h
Lower Parel,Worli,12,8,160,60 km/h
Thane,Kopri,5,5,150,40 km/h
Badlapur,Vangani,8,7,230,50 km/h
Dadar,Prabhadevi,50,4,210,60 km/h
Lower Parel,Worli,45,18,250,50 km/h
Elphinstone,Currey Road,8,5,190,60 km/h
Mankhurd,Govandi,50,5,170,50 km/h
Diva,Dombivli,50,12,190,40 km/h
Churchgate,CST,40,14,150,50 km/h
Colaba,Cuffe Parade,20,2,220,50 km/h
Mumbra,Kalwa,40,12,210,40 km/h
Churchgate,CST,35,12,180,50 km/h
Vasai,Nalasopara,35,14,200,50 km/h
Thane,Kopri,40,16,210,40 km/h
Sanpada,Vashi,30,16,160,50 km/h
Dadar,Matunga,40,14,190,40 km/h
CST,Marine Lines,12,1,220,50 km/h
Pedder Road,Worli,30,5,170,60 km/h
CST,Marine Lines,5,18,170,50 km/h
Ulhasnagar,Ambernath,45,18,220,50 km/h
Sanpada,Vashi,35,1,160,40 km/h
Ghatkopar,Vikhroli,35,20,150,40 km/h
Vikhroli,Bhandup,18,3,180,40 km/h
Currey Road,Chinchpokli,30,14,170,50 km/h
Dadar,Prabhadevi,15,2,170,60 km/h
Bhandup,Mulund,20,12,250,60 km/h
Dockyard Road,Mazgaon,22,18,210,60 km/h
Vashi,Mankhurd,20,6,190,50 km/h
Kurla,Ghatkopar,8,12,180,40 km/h
Parel,Lower Parel,10,20,150,50 km/h
Marine Lines,Charni Road,8,10,180,50 km/h
Kharghar,Belapur,6,16,210,50 km/h
Mira Road,Bhayandar,10,16,250,50 km/h
Dahisar,Mira Road,50,14,190,40 km/h
Govandi,Chembur,20,1,210,40 km/h
Dockyard Road,Mazgaon,8,7,190,50 km/h
Vangani,Shedung,15,18,160,50 km/h
Marine Drive,Haji Ali,20,10,250,50 km/h
Shedung,Panvel,25,3,230,50 km/h
Nalasopara,Virar,12,3,160,50 km/h
Vasai,Nalasopara,30,9,220,50 km/h
Marine Lines,Charni Road,30,16,150,40 km/h
Thane,Kopri,25,14,170,40 km/h
Kalwa,Diva,22,6,180,50 km/h
Ambernath,Badlapur,20,14,190,60 km/h
Govandi,Chembur,30,4,160,60 km/h
Sion,Dadar,12,9,190,60 km/h
Vangani,Shedung,25,9,180,60 km/h
Worli,Lower Parel,8,5,200,60 km/h
Ulhasnagar,Ambernath,45,7,180,40 km/h
Mazgaon,Byculla,25,14,160,50 km/h
Pedder Road,Worli,15,9,230,40 km/h
Shedung,Panvel,22,7,160,60 km/h
Lower Parel,Dadar,40,16,190,60 km/h
Sion,Dadar,25,16,250,50 km/h
Prabhadevi,Elphinstone,5,5,150,40 km/h
Dadar,Matunga,35,9,160,60 km/h
Chinchpokli,Sandhurst Road,10,20,160,50 km/h
Ulhasnagar,Ambernath,40,10,250,50 km/h
Kalyan,Ulhasnagar,22,7,170,50 km/h
Churchgate,CST,5,9,160,40 km/h
Kalwa,Diva,20,5,210,60 km/h
Dombivli,Kalyan,25,16,220,40 km/h
Marine Lines,Charni Road,8,4,220,50 km/h
Worli,Lower Parel,6,2,200,50 km/h
Diva,Dombivli,50,20,220,60 km/h
Bhayandar,Vasai,35,7,200,60 km/h
Dockyard Road,Mazgaon,12,9,200,40 km/h
Sion,Dadar,30,1,230,40 km/h
Ulhasnagar,Ambernath,12,2,200,40 km/h
Colaba,Cuffe Parade,15,12,250,50 km/h
Cuffe Parade,Churchgate,15,12,200,60 km/h
Sion,Kurla,40,12,200,50 km/h
Dockyard Road,Mazgaon,5,4,200,60 km/h
Vasai,Nalasopara,45,12,170,50 km/h
Dadar,Matunga,20,1,160,40 km/h
Charni Road,Grant Road,8,10,250,40 km/h
Haji Ali,Pedder Road,45,5,200,40 km/h
Sanpada,Vashi,5,1,160,40 km/h
Nerul,Sanpada,30,10,190,60 km/h
Dadar,Matunga,40,4,180,50 km/h
Nerul,Sanpada,15,8,210,50 km/h
Panvel,Kharghar,10,9,170,60 km/h
Bhayandar,Vasai,6,9,170,40 km/h
Sion,Kurla,10,18,190,50 km/h
Nalasopara,Virar,8,5,150,50 km/h
Ambernath,Badlapur,50,4,230,50 km/h
Thane,Kopri,22,3,210,40 km/h
Dombivli,Kalyan,6,6,220,50 km/h
Nerul,Sanpada,25,4,150,40 km/h
Kopri,Mumbra,10,6,220,50 km/h
Nerul,Sanpada,5,9,210,60 km/h
Vashi,Mankhurd,25,3,200,40 km/h
Vikhroli,Bhandup,20,5,230,60 km/h
Lower Parel,Dadar,45,2,210,40 km/h
Ulhasnagar,Ambernath,50,16,200,50 km/h
Mumbra,Kalwa,30,10,180,60 km/h
Bhayandar,Vasai,6,6,180,50 km/h
Govandi,Chembur,22,10,250,50 km/h
Churchgate,CST,8,16,250,40 km/h
King's Circle,Sion,35,16,190,60 km/h
Nalasopara,Virar,40,10,210,40 km/h
Prabhadevi,Elphinstone,10,16,220,50 km/h
Elphinstone,Currey Road,22,10,160,40 km/h
Bhandup,Mulund,40,3,250,40 km/h
King's Circle,Sion,8,10,220,60 km/h
Pedder Road,Worli,22,5,210,50 km/h
Cuffe Parade,Churchgate,10,3,160,60 km/h
Dadar,Prabhadevi,10,10,230,50 km/h
Mulund,Thane,45,20,150,50 km/h
Dahisar,Mira Road,30,20,180,40 km/h
Byculla,Parel,10,5,180,50 km/h
Dombivli,Kalyan,10,20,230,50 km/h
Matunga,King's Circle,18,1,230,40 km/h
Mulund,Thane,10,5,220,50 km/h
Lower Parel,Dadar,12,2,210,50 km/h
Vangani,Shedung,40,2,210,40 km/h
Chembur,Sion,22,12,190,40 km/h
Churchgate,CST,12,16,150,60 km/h
Belapur,Nerul,40,6,220,60 km/h
Kalyan,Ulhasnagar,12,12,250,40 km/h
CST,Marine Lines,20,7,230,40 km/h
Bhayandar,Vasai,25,20,180,60 km/h
Matunga,King's Circle,45,6,220,60 km/h
Worli,Lower Parel,25,12,170,40 km/h
Bhandup,Mulund,8,8,230,40 km/h
Shedung,Panvel,25,2,190,60 km/h
Parel,Lower Parel,5,12,150,50 km/h
Dockyard Road,Mazgaon,18,7,160,60 km/h
Chinchpokli,Sandhurst Road,30,2,230,40 km/h
Dadar,Matunga,40,7,150,40 km/h
Kurla,Ghatkopar,40,14,250,40 km/h
Lower Parel,Dadar,45,7,230,40 km/h
Shedung,Panvel,40,18,150,60 km/h
Colaba,Cuffe Parade,35,7,210,50 km/h
Dadar,Prabhadevi,35,12,150,60 km/h
Lower Parel,Worli,8,1,250,50 km/h
Prabhadevi,Elphinstone,15,10,150,50 km/h
Belapur,Nerul,45,18,160,40 km/h
Ambernath,Badlapur,25,7,210,50 km/h
Belapur,Nerul,10,4,180,60 km/h
Kharghar,Belapur,18,16,250,50 km/h
Lower Parel,Worli,35,14,230,40 km/h
Sandhurst Road,Dockyard Road,6,9,230,60 km/h
Thane,Kopri,5,9,160,40 km/h
Charni Road,Grant Road,50,6,190,60 km/h
Ambernath,Badlapur,6,10,200,60 km/h
King's Circle,Sion,5,10,160,50 km/h
Haji Ali,Pedder Road,50,20,250,50 km/h
Diva,Dombivli,30,7,190,50 km/h
Grant Road,Marine Drive,6,2,150,40 km/h
Lower Parel,Worli,35,7,210,40 km/h
Mumbra,Kalwa,18,18,160,40 km/h
Vangani,Shedung,20,3,170,50 km/h
Marine Drive,Haji Ali,5,4,170,50 km/h
Govandi,Chembur,40,14,150,50 km/h
Bhandup,Mulund,15,3,230,40 km/h
Cuffe Parade,Churchgate,10,3,200,40 km/h
Lower Parel,Dadar,20,16,200,50 km/h
Ghatkopar,Vikhroli,20,18,190,50 km/h
Sion,Kurla,22,2,250,40 km/h
Nerul,Sanpada,15,4,160,50 km/h
Thane,Kopri,15,10,160,50 km/h
Kurla,Ghatkopar,8,16,220,40 km/h
Mankhurd,Govandi,8,3,230,40 km/h
Colaba,Cuffe Parade,45,4,250,50 km/h
Mumbra,Kalwa,50,2,200,60 km/h
Dadar,Prabhadevi,22,1,160,60 km/h
Haji Ali,Pedder Road,40,10,160,40 km/h
Bhandup,Mulund,25,1,190,60 km/h
Marine Drive,Haji Ali,12,1,180,60 km/h
Dockyard Road,Mazgaon,18,6,220,40 km/h
Kharghar,Belapur,12,16,210,50 km/h
Mumbra,Kalwa,5,10,220,40 km/h
Thane,Kopri,40,3,200,50 km/h
Dadar,Matunga,15,6,190,60 km/h
Sandhurst Road,Dockyard Road,12,16,250,50 km/h
Mazgaon,Byculla,40,9,230,40 km/h
Lower Parel,Worli,45,9,210,40 km/h
Byculla,Parel,5,12,200,40 km/h
Kopri,Mumbra,5,12,200,50 km/h
Kurla,Ghatkopar,35,20,220,40 km/h
Pedder Road,Worli,8,3,250,40 km/h
Prabhadevi,Elphinstone,50,7,180,60 km/h
Prabhadevi,Elphinstone,22,4,230,60 km/h
Haji Ali,Pedder Road,35,10,190,40 km/h
Kalwa,Diva,6,1,170,40 km/h
Mira Road,Bhayandar,12,9,170,50 km/h
Dombivli,Kalyan,15,9,210,50 km/h
Bhayandar,Vasai,12,1,250,40 km/h
Ambernath,Badlapur,20,8,190,60 km/h
Mankhurd,Govandi,10,12,250,60 km/h
Sanpada,Vashi,35,14,250,40 km/h
Ulhasnagar,Ambernath,6,16,230,50 km/h
Cuffe Parade,Churchgate,20,8,250,40 km/h
Bhandup,Mulund,45,9,170,60 km/h
Mumbra,Kalwa,5,4,220,50 km/h
Mumbra,Kalwa,40,10,150,50 km/h
Vangani,Shedung,15,6,210,60 km/h
Dombivli,Kalyan,22,12,220,40 km/h
Marine Lines,Charni Road,8,10,160,60 km/h
Thane,Kopri,25,2,190,50 km/h
Dombivli,Kalyan,40,8,150,60 km/h
Dadar,Matunga,45,20,160,40 km/h
Colaba,Cuffe Parade,22,5,200,50 km/h
Lower Parel,Worli,5,6,200,50 km/h
Mira Road,Bhayandar,30,16,170,60 km/h
Marine Lines,Charni Road,12,1,150,50 km/h
